infoUser;fechayhora;tipoMovimiento
david139;2024-04-09T09:55:31.858079;Alta
david139;2024-04-09T09:57:16.180356100;Login
pepe3;2024-04-09T09:58:04.313537300;Alta
pepe3;2024-04-09T09:58:40.243099100;Login
jose33;2024-04-09T10:22:02.381640600;Alta
fer2;2024-04-10T13:41:40.950460600;Alta
pepe3;2024-04-10T14:17:39.542949400;Login
jose66;2024-04-10T14:46:49.602751;Alta
jose66;2024-04-10T14:47:13.634099900;Alta
Diego44;2024-04-12T13:13:34.866928800;Alta
jose33;2024-04-19T11:00:57.237433400;AltaIncorrecto
rar5;2024-04-19T11:02:14.087676700;AltaCorrecto
jose33;2024-04-19T13:15:54.066202700;Alta;Incorrecto
jose33;2024-04-19T13:18:08.037037900;Alta;Incorrecto
jose33;2024-04-19T13:23:58.234302800;Login;Correcto
jose33;2024-04-19T13:33:17.772720200;Login;Correcto
jose33;2024-04-19T13:35:21.414553100;Login;Correcto
jose33;2024-04-19T13:36:19.779100100;Login;Correcto
jose33;2024-04-19T13:37:21.543914500;Login;Correcto
jose33;2024-04-19T13:40:27.902258700;Login;Correcto
jose33;2024-04-19T13:41:01.923121800;Login;Correcto
jose33;2024-04-19T13:42:57.329750100;Login;Correcto
jose33;2024-04-19T13:44:17.616056;Login;Correcto
jose33;2024-04-19T14:01:44.713513500;Login;Correcto
jose33;2024-04-19T14:02:46.646548700;Login;Correcto
jose33;2024-04-19T14:04:01.020322700;Login;Correcto
jose33;2024-04-19T14:05:08.513986;Login;Correcto
jose33;2024-04-19T14:07:46.214279700;Login;Correcto
jose33;2024-04-19T14:14:24.812613700;Login;Correcto
jose33;2024-04-19T14:15:11.963694100;Login;Correcto
jose33;2024-04-19T14:21:05.460574500;Login;Correcto
jose33;2024-04-19T14:23:05.190714800;Login;Correcto
jose33;2024-04-19T14:30:37.464269200;Login;Correcto
jose33;2024-04-19T14:32:43.514107800;Login;Correcto
jose33;2024-04-19T14:34:05.769303700;Login;Correcto
jose33;2024-04-19T14:34:44.092639800;Login;Correcto
jose33;2024-04-19T14:35:20.438291400;Login;Correcto
jose33;2024-04-19T14:36:56.960680500;Login;Correcto
jose33;2024-04-22T10:39:27.702024100;Login;Correcto
jose33;2024-04-22T10:40:46.892248800;Login;Correcto
jose33;2024-04-22T10:41:12.142431100;Login;Correcto
jose33;2024-04-22T12:24:03.433683500;Login;Correcto
